Protein	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD4_CD34	HD5_CD34	HD6_CD34	HD1_Lin-	HD2_Lin-	HD3_Lin-
ACSF3	112264	11503	155080	0	37925	0	0	92777	45105	57419	0	70139	185574	0	33983	40164	65561	32450	30275	58008	35880	52990	26797	31750	42636	36636	69415	1973	26741	79807	42958	115464	8135	0	62361	10945	139064	0	0	0	128900	46800	47669	0	63630	23226	43886	0	0	0
ACSL1	111356	161200	73503	1356464	402422	234434	830588	165067	223917	173684	48163	97911	91502	538909	245310	683200	230980	254201	735882	371966	149314	63994	563662	66030	131703	181193	405419	89667	403838	161423	1111021	70260	21996	366948	403670	2135732	61552	904794	307547	313752	0	995301	236539	109823	368491	1018508	470712	11311551	0	7338523
ACSL3	183134	118078	95020	67288	150797	209445	0	83822	56948	103477	0	52006	96787	88946	65845	73339	188841	118514	110775	50757	141896	146058	111743	135241	118924	212504	96213	60142	105063	186609	182162	140854	175726	81977	223772	144427	127623	65551	164163	141380	49246	298818	178214	22055	62570	77880	55264	94439	112194	168186
ACSL4	233863	108770	34724	92632	146859	280677	96499	121871	89355	125081	84682	86708	36044	113148	107111	110505	130868	118615	91432	9507	73594	87362	204581	172068	110633	65274	152121	53387	128010	66898	215951	91749	87808	97828	94911	282233	33016	131707	186696	110820	28825	140631	378358	32898	41054	46496	47258	34595	0	0
ACSL5	182550	94783	80270	18632	121348	0	94861	152451	202027	100977	0	81281	54458	228093	157510	83304	125703	137426	28374	136705	16879	110388	72685	112137	84412	99901	38962	84511	95635	152825	107094	11133	0	6090	216787	104647	186016	39548	77078	43393	257577	110539	118111	48105	30998	28420	74268	90504	93488	0
ACSS1	551751	229632	782586	96244	176776	300086	158806	388300	300558	292894	294130	408772	475054	384882	262365	167789	201556	171932	103988	270415	146366	588450	143306	150409	250630	252332	230205	398620	236455	365486	294778	278274	328924	20965	201039	126308	1169347	59050	148172	347702	476284	103439	485228	262295	322790	402704	280651	213815	148025	339666
ACSS2	0	0	23199	0	125701	0	0	0	2015	10377	0	22574	41812	0	0	40293	0	13296	28226	0	0	32787	96904	0	0	0	14403	5179	13843	38504	0	0	0	0	0	108691	0	37826	45611	0	0	109168	13917	0	73184	0	0	30448	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	19220	18073	2371	0	0	0	0	12804	0	5934	4241	0	6838	0	0	0	3306	0	0	0	857	0	0	0	11422	3517	0	0	0	0	0	0	0	0	0	0	11031	0	0	4460	0	0	174300	418152	0	0	0	0
ACTB	13043782	6738005	2789652	11448235	3307899	10904017	13068572	8943395	7673100	4968116	19143415	2492173	1613879	22733658	10452248	11010672	13647201	10666603	7602042	19014089	12066967	5419635	4212671	13120227	12523648	3269466	13181252	5866009	7448858	3317352	14558843	9731572	9940417	14125182	8134030	7797237	72339	15917582	11531566	20397640	3633997	3080298	8897126	10911524	1995216	4953314	7842179	19162915	16112742	15561284
ACTBL2	0	0	22638	0	4361	0	0	0	102712	16328	0	13068	1479	0	11485	0	0	8825	17887	0	55222	0	12194	0	0	160639	0	0	0	16079	0	0	0	0	0	76341	3675	21703	17286	0	0	0	0	0	6594	0	0	0	0	374760
ACTG1	4995065	605581	2777242	10423607	3682487	1223612	7191626	6922679	8985315	3415039	1335195	2952428	1646413	10460735	6692539	5309463	8860295	6517316	6463169	15121910	4759358	3645855	5215804	5564789	5883682	4079706	8911230	5204369	4978398	3129138	6385741	4020995	3314186	7713517	5542675	7749745	50571	8182504	6890713	6925094	1019930	3699411	4328579	6118790	1567755	7951549	10855305	5406298	3128314	5913526
